level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
state,27,27,Maharashtra,95,31,48.1,307477
state,9,9,Uttar Pradesh,46,18,41.8,241015
state,8,8,Rajasthan,41,31,54.4,342210
state,7,7,Delhi,41,2,100.0,1484
state,6,6,Haryana,34,23,99.5,44195
state,10,10,Bihar,33,22,86.8,94154
state,29,29,Karnataka,28,15,48.1,191796
state,23,23,Madhya Pradesh,27,13,28.4,308228
state,19,19,West Bengal,22,7,41.3,85522
state,33,33,Tamil Nadu,17,9,44.9,130006
state,21,21,Odisha,17,15,37.4,155547
state,24,24,Gujarat,16,6,14.8,183734
state,36,36,Telangana,15,1,14.0,112125
state,22,22,Chhattisgarh,14,8,25.8,135171
state,28,28,Andhra Pradesh,12,9,30.7,162947
state,18,18,Assam,9,6,45.1,78432
state,3,3,Punjab,7,7,65.2,50371
state,32,32,Kerala,6,5,53.6,38874
state,4,4,Chandigarh,4,1,100.0,115
state,5,5,Uttarakhand,2,2,20.2,53414
state,34,34,Puducherry,1,1,60.7,497
state,2,2,Himachal Pradesh,1,1,10.2,55865
state,20,20,Jharkhand,1,1,23.3,79853
state,11,11,Sikkim,1,1,63.3,7099
state,13,13,Nagaland,1,1,39.5,16586
state,12,12,Arunachal Pradesh,1,1,5.0,82099
state,17,17,Meghalaya,1,1,38.0,22414
state,16,16,Tripura,1,1,36.7,10455
state,15,15,Mizoram,1,1,35.9,21084
state,31,31,Lakshadweep,0,0,0.0,18
state,38,38,Dadra & Nagar Haveli and Daman & Diu,0,0,93.6,601
state,30,30,Goa,0,0,0.0,3698
state,1,1,Jammu & Kashmir,0,0,0.0,54648
state,37,37,Ladakh,0,0,0.0,168220
state,14,14,Manipur,0,0,14.1,22344
state,35,35,Andaman & Nicobar Islands,0,0,0.0,7739
district,483,483,Mumbai Suburban,25,1,100.0,430
district,525,525,Bengaluru Urban,14,1,100.0,2191
district,497,497,Thane,14,8,92.6,4275
district,490,490,Pune,14,2,67.5,15654
district,438,438,Ahmadabad,9,2,55.7,7245
district,79,79,New Delhi,9,1,100.0,158
district,568,568,Chennai,7,1,100.0,335
district,482,482,Mumbai,7,1,100.0,62
district,80,80,North,7,1,100.0,292
district,162,162,Lucknow,6,1,100.0,2531
district,171,171,Moradabad,6,1,100.0,1947
district,62,62,Gurugram,6,3,100.0,1254
district,670,670,South East,6,1,100.0,102
district,212,212,Patna,6,1,100.0,3194
district,704,704,Paschim Bardhaman,6,2,100.0,1811
district,315,315,Kolkata,6,1,100.0,185
district,700,700,Medchal Malkajgiri,5,1,100.0,1074
district,487,487,Nashik,5,2,81.5,15518
district,60,60,Faridabad,5,2,100.0,740
district,102,102,Jaipur,5,1,100.0,2124
district,118,118,Agra,5,1,97.5,4045
district,313,313,Howrah,5,1,100.0,1468
district,618,618,Kamrup Metro,5,2,100.0,962
district,691,691,Sangareddy,4,1,61.1,4448
district,507,507,Hyderabad,4,1,100.0,189
district,387,387,Raipur,4,1,100.0,2905
district,484,484,Nagpur,4,1,75.9,9900
district,446,446,Gandhinagar,4,1,100.0,2108
district,44,44,Chandigarh,4,1,100.0,115
district,144,144,Gautam Buddha Nagar,4,2,100.0,1412
district,145,145,Ghaziabad,4,2,100.0,913
district,77,77,Central,4,2,100.0,106
district,671,671,Shahdara,4,1,100.0,33
district,69,69,Mahendragarh,4,1,100.0,1936
district,407,407,Gwalior,4,1,93.1,4561
district,410,410,Indore,4,1,100.0,3904
district,411,411,Jabalpur,4,1,98.6,5095
district,386,386,Raigarh,4,4,90.2,5552
district,187,187,Varanasi,4,1,100.0,1531
district,196,196,Gaya,4,1,99.5,4972
district,361,361,Kendujhar,4,4,96.7,8304
district,496,496,Solapur,3,1,37.8,14854
district,749,749,Ntr,3,1,64.3,3288
district,378,378,Durg,3,1,100.0,2296
district,491,491,Raigad,3,2,89.4,6978
district,469,469,Aurangabad,3,1,68.2,10123
district,107,107,Jodhpur,3,1,100.0,1551
district,169,169,Meerut,3,1,100.0,2592
district,82,82,North West,3,1,100.0,153
district,85,85,West,3,1,100.0,132
district,64,64,Jhajjar,3,2,100.0,1857
district,109,109,Kota,3,1,96.3,5089
district,396,396,Bhopal,3,1,75.0,2764
district,425,425,Sagar,3,1,68.8,10262
district,120,120,Prayagraj,3,1,87.5,5478
district,373,373,Sundargarh,3,2,89.3,9729
district,303,303,24 Paraganas North,3,2,70.1,4008
district,192,192,Bhagalpur,3,2,100.0,2556
district,208,208,Muzaffarpur,3,1,100.0,3182
district,565,565,Thiruvananthapuram,2,1,100.0,2193
district,752,752,Tirupati,2,2,72.2,8488
district,569,569,Coimbatore,2,1,82.1,4720
district,518,518,Ranga Reddy,2,1,78.0,4997
district,473,473,Chandrapur,2,1,58.5,11360
district,468,468,Amravati,2,1,53.9,12208
district,665,665,Palghar,2,2,99.4,5273
district,480,480,Kolhapur,2,1,61.0,7671
district,536,536,Dharwad,2,2,99.3,4258
district,403,403,Dhar,2,2,55.0,8152
district,36,36,Ludhiana,2,2,99.7,3689
district,157,157,Kanpur Nagar,2,1,94.0,3002
district,134,134,Bulandshahr,2,2,97.7,3520
district,84,84,South West,2,1,100.0,282
district,63,63,Hisar,2,1,100.0,4077
district,770,770,Khairthal-Tijara,2,1,100.0,2009
district,83,83,South,2,1,100.0,159
district,143,143,Firozabad,2,1,100.0,2422
district,383,383,Korba,2,1,82.4,6600
district,209,209,Nalanda,2,2,100.0,2367
district,211,211,Pashchim Champaran,2,2,90.8,5227
district,365,365,Mayurbhanj,2,2,87.3,10407
district,362,362,Khordha,2,1,66.6,2883
district,344,344,Anugul,2,2,79.8,6375
district,547,547,Shivamogga,1,1,51.8,8475
district,534,534,Dakshina Kannada,1,1,82.2,4860
district,555,555,Ernakulam,1,1,88.1,3062
district,566,566,Thrissur,1,1,96.0,3021
district,559,559,Kollam,1,1,90.0,2483
district,594,594,Tuticorin,1,1,79.7,4735
district,578,578,Madurai,1,1,97.5,3711
district,582,582,Pudukkottai,1,1,86.5,4654
district,583,583,Ramanathapuram,1,1,85.2,4098
district,586,586,Thanjavur,1,1,85.9,3430
district,600,600,Pondicherry,1,1,100.0,293
district,589,589,Thiruvallur,1,1,98.8,3223
district,574,574,Kanchipuram,1,1,64.1,1741
district,630,630,Chikkaballapura,1,1,89.7,4242
district,631,631,Ramanagara,1,1,93.2,3514
district,503,503,Chittoor,1,1,72.0,6703
district,573,573,Erode,1,1,62.8,5112
district,545,545,Mysuru,1,1,89.2,6317
district,541,541,Kodagu,1,1,97.2,4101
district,557,557,Kannur,1,1,98.3,2969
district,548,548,Tumakuru,1,1,58.5,10589
district,532,532,Chikkamagaluru,1,1,81.4,7202
district,524,524,Bagalkote,1,1,81.9,6560
district,530,530,Vijayapura,1,1,70.3,10495
district,538,538,Kalaburagi,1,1,81.0,10958
district,635,635,Yadgir,1,1,69.6,5278
district,502,502,Anantapur,1,1,56.5,10188
district,504,504,Y.S.R.,1,1,58.2,10147
district,510,510,Krishna,1,1,56.1,3833
district,505,505,East Godavari,1,1,100.0,2610
district,506,506,Guntur,1,1,83.5,2420
district,485,485,Nanded,1,1,44.9,10529
district,489,489,Parbhani,1,1,89.4,6304
district,481,481,Latur,1,1,76.3,7206
district,479,479,Jalna,1,1,70.3,7679
district,478,478,Jalgaon,1,1,81.5,11794
district,467,467,Akola,1,1,91.9,5433
district,474,474,Dhule,1,1,57.6,7189
district,459,459,Surat,1,1,88.6,4336
district,442,442,Bharuch,1,1,81.1,4931
district,462,462,Valsad,1,1,95.1,2947
district,466,466,Ahmednagar,1,1,48.4,17096
district,493,493,Sangli,1,1,58.4,8606
district,423,423,Ratlam,1,1,79.4,4857
district,88,88,Banswara,1,1,96.2,4512
district,99,99,Dungarpur,1,1,97.5,3769
district,117,117,Udaipur,1,1,87.1,9206
district,629,629,Pratapgarh,1,1,96.4,4439
district,92,92,Bhilwara,1,1,78.4,6297
district,112,112,Rajsamand,1,1,78.9,4634
district,111,111,Pali,1,1,86.4,9905
district,104,104,Jalore,1,1,87.0,5811
district,115,115,Sirohi,1,1,85.1,5135
district,778,778,Jodhpur Gramin,1,1,54.8,11729
district,86,86,Ajmer,1,1,95.3,4055
district,110,110,Nagaur,1,1,68.0,11012
district,114,114,Sikar,1,1,97.9,5806
district,96,96,Churu,1,1,44.4,13850
district,101,101,Hanumangarh,1,1,62.4,9713
district,93,93,Bikaner,1,1,34.1,26101
district,103,103,Jaisalmer,1,1,20.4,38448
district,27,27,Amritsar,1,1,99.9,2676
district,100,100,Ganganagar,1,1,64.7,6217
district,28,28,Bathinda,1,1,100.0,3374
district,74,74,Sirsa,1,1,100.0,4272
district,61,61,Fatehabad,1,1,100.0,2525
district,41,41,Patiala,1,1,100.0,3324
district,30,30,Fatehgarh Sahib,1,1,100.0,1145
district,42,42,Rupnagar,1,1,100.0,1376
district,25,25,Solan,1,1,100.0,1935
district,70,70,Panchkula,1,1,100.0,881
district,68,68,Kurukshetra,1,1,100.0,1682
district,66,66,Kaithal,1,1,100.0,2275
district,67,67,Karnal,1,1,100.0,2475
district,76,76,Yamunanagar,1,1,100.0,1723
district,49,49,Dehradun,1,1,75.3,3103
district,130,130,Bareilly,1,1,96.1,4117
district,56,56,Udam Singh Nagar,1,1,46.5,2670
district,619,619,Palwal,1,1,100.0,1358
district,172,172,Muzaffarnagar,1,1,100.0,2736
district,124,124,Baghpat,1,1,100.0,1323
district,71,71,Panipat,1,1,100.0,1302
district,78,78,East,1,1,100.0,31
district,75,75,Sonipat,1,1,100.0,2180
district,65,65,Jind,1,1,100.0,2730
district,59,59,Bhiwani,1,1,92.9,3292
district,701,701,Charki Dadri,1,1,100.0,1384
district,106,106,Jhunjhunu,1,1,98.8,4672
district,72,72,Rewari,1,1,100.0,1552
district,97,97,Dausa,1,1,89.4,3420
district,87,87,Alwar,1,1,98.1,4750
district,113,113,Sawai Madhopur,1,1,99.4,3661
district,108,108,Karauli,1,1,99.8,3830
district,98,98,Dholpur,1,1,100.0,3037
district,91,91,Bharatpur,1,1,96.0,2895
district,167,167,Mathura,1,1,100.0,3343
district,89,89,Baran,1,1,66.3,6996
district,94,94,Bundi,1,1,96.6,5776
district,105,105,Jhalawar,1,1,62.5,6340
