State/UT,Decade,Type,Old Name,New Name,
Andhra Pradesh,1971-1981,Full Change,Ongole,Prakasam,
Andhra Pradesh,2001-2011,Full Change,Nellore,Sri Potti Sriramulu,
Andhra Pradesh,2001-2011,Full Change,Cudappah,YSR,
Arunachal Pradesh,1951-1961,Full Change,Abor Hills,Siang Frontier Division,
Arunachal Pradesh,1951-1961,Full Change,Mishmi Hills,Lohit Frontier Division,
Arunachal Pradesh,1951-1961,Suffix change,Tirap Frontier Tract,Tirap Frontier Division,
Arunachal Pradesh,1961-1971,Shortening,Kameng Frontier,Kameng,
Arunachal Pradesh,1961-1971,Shortening,Subansiri Frontier,Subansiri,
Arunachal Pradesh,1961-1971,Shortening,Siang Frontier Division,Siang,
Arunachal Pradesh,1961-1971,Shortening,Tirap Frontier Division,Tirap,
Arunachal Pradesh,1961-1971,Shortening,Lohit Frontier Division,Lohit,
Assam,1971-1981,Full Change,Mikir Hills,Karbi Anglong,
Assam,1971-1981,Full Change,Nowgong,Nagaon,
Assam,2001-2011,Full Change,North Cachar Hills,Dima Hasao,
Assam,2001-2011,Full Change,Barpeta,Baksa,
Bihar,1971-1981,Nativization,Monghyr,Munger,
Chhattisgarh,2001-2011,Full Change,Dantewada,Dakshin Bastar Dantewada,
Chhattisgarh,2001-2011,Full Change,Kanker,Uttar Bastar Kanker,
Chhattisgarh,2001-2011,Full Change,Kawardha,Kabeerdham,
Gujarat,1951-1961,Full Change,Zalawad,Surendranagar,
Gujarat,1951-1961,Full Change,Central Saurashtra,Rajkot,
Gujarat,1951-1961,Full Change,Halar,Jamnagar,
Gujarat,1951-1961,Full Change,Gohilwad,Bhavnagar,
Gujarat,1951-1961,Full Change,Sorath,Junagadh,
Gujarat,1961-1971,Nativization,Baroda,Vadodara,
Gujarat,1961-1971,Full Change,Kaira,Kheda,
Gujarat,1961-1971,Nativization,Broach,Bharuch,
Haryana,2011-2021,Full Change,Mewat,Nuh,
Haryana,2011-2021,Nativization,Gurgaon,Gurugram,
Jammu and Kashmir,1991-2001,Full Change,Ladakh,Leh (Ladakh),
Jharkhand,2011-2021,Variation in Regional and English Pronunciation,Pashchimi Singhbhum,West Singhbhum,
Jharkhand,2011-2021,Variation in Regional and English Pronunciation,Purbi Singhbhum,East Singhbhum,
Karnataka,1951-1961,Prefix,Kanara,North Kanara,
Karnataka,1971-1981,Nativization,South Kanara,Dakshin Kannad,
Karnataka,1971-1981,Nativization,North Kanara,Uttar Kannad,
Karnataka,1981-1991,Native Pronunciation,Uttar Kannad,Uttara Kannada,
Karnataka,1981-1991,Native Pronunciation,Dakshin Kannad,Dakshina Kannada,
Karnataka,2011-2021,Nativization,Belgaum,Belgavi,
Karnataka,2011-2021,Nativization,Gulbarga,Kalaburagi,
Karnataka,2011-2021,Nativization,Bellary,Ballari,
Karnataka,2011-2021,Nativization,Bijapur,Vijayapura,
Karnataka,2011-2021,Nativization,Shimoga,Shivamogga,
Karnataka,2011-2021,Nativization,Chikmagalur,Chikkamagaluru,
Karnataka,2011-2021,Nativization,Ramanagara,Ramanagaram,
Karnataka,2011-2021,Nativization,Mysore,Mysuru,
Karnataka,2011-2021,Nativization,Chamrajnagar,Chamarajanagar,
Karnataka,2011-2021,Nativization,Tumkur,Tumakuru,
Karnataka,2021-2024,Full Change,Ramanagaram,Bengaluru South,
Kerala,1981-1991,Nativization,Trivandrum,Thiruvananthapuram,
Kerala,1981-1991,Nativization,Alleppey,Alappuzha,
Kerala,1981-1991,Nativization,Trichur,Thrissur,
Kerala,1981-1991,Nativization,Cannanore,Kannur,
Kerala,1981-1991,Nativization,Palghat,Palakkad,
Kerala,1981-1991,Nativization,Quilon,Kollam,
Ladakh,1991-2001,Prefix,Ladakh,Leh (Ladakh),
Madhya Pradesh,1951-1961,Full Change,Gird,Gwalior,
Madhya Pradesh,1951-1961,Full Change,Bhilsa,Vidisha,
Madhya Pradesh,1961-1971,Full Change,West Nimar,Khargone,
Madhya Pradesh,1961-1971,Full Change,East Nimar,Khandwa,
Madhya Pradesh,1971-1981,Full Change,Khargone,West Nimar,
Madhya Pradesh,1971-1981,Full Change,Khandwa,East Nimar,
Madhya Pradesh,2001-2011,Nativization,West Nimar,Khargone (West Nimar),
Madhya Pradesh,2001-2011,Nativization,East Nimar,Khandwa (East Nimar),
Madhya Pradesh,2011-2021,Full Change,Hoshangabad,Narmadapuram,
Maharashtra,1951-1961,Full Change,West Khandesh,Dhule,
