State/UT,Decade,Year,District-Before,District-After,
Andhra Pradesh-Telangana,1951-1961,1953,Warangal,Warangal,
Andhra Pradesh-Telangana,1951-1961,1953,Warangal,Khammam,
Arunachal Pradesh,1951-1961,1954,Balipara Frontier Tract,Subansiri Frontier Division,
Arunachal Pradesh,1951-1961,1954,Balipara Frontier Tract,Kameng Frontier Division,
Himachal Pradesh,1951-1961,1960,Kangra,Kangra,
Himachal Pradesh,1951-1961,1960,Kangra,Lahaul and Spiti,
Himachal Pradesh,1951-1961,1960,Mahasu,Mahasu,
Himachal Pradesh,1951-1961,1960,Mahasu,Kinnaur,
Kerala,1951-1961,1957,Malabar,Cannanore,
Kerala,1951-1961,1957,Malabar,Kozhikode,
Kerala,1951-1961,1957,Malabar,Palghat,
Kerala,1951-1961,1957,Kottayam,Alleppey,
Kerala,1951-1961,1957,Kottayam,Kottayam,
Kerala,1951-1961,1957,Quilon,Alleppey,
Kerala,1951-1961,1957,Quilon,Quilon,
Kerala,1951-1961,1958,Kottayam,Ernakulam,
Kerala,1951-1961,1958,Kottayam,Kottayam,
Kerala,1951-1961,1958,Trichur,Ernakulam,
Kerala,1951-1961,1958,Trichur,Trichur,
Madhya Pradesh,1951-1961,1956,Sagar,Sagar,
Madhya Pradesh,1951-1961,1956,Sagar,Damoh,
Madhya Pradesh,1951-1961,1956,Chhindwara,Chhindwara,
Madhya Pradesh,1951-1961,1956,Chhindwara,Seoni,
Madhya Pradesh,1951-1961,1956,Hoshangabad,Hoshangabad,
Madhya Pradesh,1951-1961,1956,Hoshangabad,Narsimhapur,
Madhya Pradesh,1951-1961,1956,Nimar,West Nimar,
Madhya Pradesh,1951-1961,1956,Nimar,East Nimar,
Nagaland,1951-1961,1957,Tuensang,Tuensang,
Nagaland,1951-1961,1957,Tuensang,Mokokchung,
Tamil Nadu,1951-1961,1956,Trivandrum,Kanyakumari,
Tamil Nadu,1951-1961,1956,Trivandrum,Trivandrum,
Telangana,1951-1961,1953,Warangal,Khammam,
Telangana,1951-1961,1953,Warangal,Warangal,
Uttarakhand,1951-1961,1960,Almora,Almora,
Uttarakhand,1951-1961,1960,Almora,Pithoragarh,
Uttarakhand,1951-1961,1960,Tehri Garhwal,Tehri Garhwal,
Uttarakhand,1951-1961,1960,Tehri Garhwal,Uttar Kashi,
Uttarakhand,1951-1961,1960,Garhwal,Chamoli,
Uttarakhand,1951-1961,1960,Garhwal,Garhwal,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Anantnag,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Baramulla,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Doda,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Jammu,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Kathua,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Ladakh,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Poonch,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Srinagar,
Jammu and Kashmir,1951-1961,1956,Jammu and Kashmir,Udhampur,
Andhra Pradesh,1961-1971,1970,Nellore,Nellore,
Andhra Pradesh,1961-1971,1970,Nellore,Ongole,
Assam,1961-1971,1970,United Mikir and North Cachar Hills,Mikir Hills,
Assam,1961-1971,1970,United Mikir and North Cachar Hills,North Cachar Hills,
Chandigarh,1961-1971,1966,Ambala,Ambala,
Chandigarh,1961-1971,1966,Ambala,Chandigarh,
Daman and Diu,1961-1971,1961,Daman and Diu,Daman,
Daman and Diu,1961-1971,1961,Daman and Diu,Diu,
Gujarat,1961-1971,1964,Mehsana,Mahesana,
Gujarat,1961-1971,1964,Mehsana,Gandhinagar,
Gujarat,1961-1971,1964,Ahmadabad,Gandhinagar,
Gujarat,1961-1971,1966,Surat,Valsad,
Gujarat,1961-1971,1966,Surat,Surat,
Himachal Pradesh,1961-1971,1966,Kangra,Kangra,
Himachal Pradesh,1961-1971,1966,Kangra,Kulu,
Jammu and Kashmir,1961-1971,1968,Poonch,Punch,
Jammu and Kashmir,1961-1971,1968,Poonch,Rajauri,
Kerala,1961-1971,1969,Kozhikode,Kozhikode,
Kerala,1961-1971,1969,Kozhikode,Malappuram,
Kerala,1961-1971,1969,Palghat,Palghat,
Kerala,1961-1971,1969,Palghat,Malappuram,
Manipur,1961-1971,1969,Manipur,Manipur North,
Manipur,1961-1971,1969,Manipur,Manipur South,
Manipur,1961-1971,1969,Manipur,Manipur East,
Manipur,1961-1971,1969,Manipur,Manipur West,
Manipur,1961-1971,1969,Manipur,Manipur Central,
Tamil Nadu,1961-1971,1965,Salem,Salem,
