State/UT,Decade,Year,Old districts,New District,
Andaman and Nicobar Islands,1971-1981,1974.0,Andaman and Nicobar Islands,Andaman,
Andaman and Nicobar Islands,1971-1981,1974.0,Andaman and Nicobar Islands,Nicobar,
Andaman and Nicobar Islands,2001-2011,2006.0,Andamans,North & Middle Andaman,
Andaman and Nicobar Islands,2001-2011,2006.0,Andamans,South Andaman,
Andhra Pradesh,1961-1971,1970.0,Nellore,Ongole,
Andhra Pradesh,1971-1981,1979.0,Visakhapatnam and Srikakulam,Vizianagaram,
Andhra Pradesh,2021-2024,2022.0,"East Godavari, Visakhapatnam, Vizianagaram.",Alluri Sitharama Raju,
Andhra Pradesh,2021-2024,2022.0,Visakhapatnam,Anakapalli,
Andhra Pradesh,2021-2024,2022.0,"Chittoor, YSR",Annamayya,
Andhra Pradesh,2021-2024,2022.0,Guntur,Bapatla,
Andhra Pradesh,2021-2024,2022.0,East Godavari,Dr. B. R. Ambedkar Konaseema,
Andhra Pradesh,2021-2024,2022.0,West Godavari,Eluru,
Andhra Pradesh,2021-2024,2022.0,East Godavari,Kakinada,
Andhra Pradesh,2021-2024,2022.0,Kurnool,Nandyal,
Andhra Pradesh,2021-2024,2022.0,Krishna,NTR,
Andhra Pradesh,2021-2024,2022.0,Guntur,Palnadu,
Andhra Pradesh,2021-2024,2022.0,"Srikakulam, Vizianagaram.",Parvathipuram Manyam,
Andhra Pradesh,2021-2024,2022.0,Anantapuramu,Sri Sathya Sai,
Andhra Pradesh,2021-2024,2022.0,"Chittoor, Nellore",Tirupati,
Arunachal Pradesh,1951-1961,1954.0,Balipara Frontier Tract,Kameng Frontier Division,
Arunachal Pradesh,1951-1961,1954.0,Balipara Frontier Tract,Subansiri Frontier Division,
Arunachal Pradesh,1971-1981,1980.0,Lohit,Dibang Valley,
Arunachal Pradesh,1971-1981,1980.0,Kameng,East Kameng,
Arunachal Pradesh,1971-1981,1980.0,Kameng,West Kameng,
Arunachal Pradesh,1971-1981,1980.0,Siang,West Siang,
Arunachal Pradesh,1981-1991,1987.0,Tirap,Changlang,
Arunachal Pradesh,1981-1991,1987.0,Subansiri,Lower Subansiri,
Arunachal Pradesh,1981-1991,1987.0,Subansiri,Upper Subansiri,
Arunachal Pradesh,1981-1991,1989.0,West Siang,East Siang,
Arunachal Pradesh,1981-1991,1989.0,West Kameng,Tawang,
Arunachal Pradesh,1991-2001,1992.0,Lower Subansiri,Papum Pare,
Arunachal Pradesh,1991-2001,1994.0,East Siang,Upper Siang,
Arunachal Pradesh,2001-2011,2001.0,Lower Subansiri,Kurung Kumey,
Arunachal Pradesh,2001-2011,2001.0,Dibang Valley,Lower Dibang Valley,
Arunachal Pradesh,2001-2011,2004.0,Lohit,Anjaw,
Arunachal Pradesh,2011-2021,2012.0,Tirap,Longding,
Arunachal Pradesh,2011-2021,2014.0,Lohit,Namsai,
Arunachal Pradesh,2011-2021,2015.0,Kurung Kumey,Kra Daadi,
Arunachal Pradesh,2011-2021,2015.0,"East Siang, West Siang",Siang,
Arunachal Pradesh,2011-2021,2017.0,"Lower Subansiri, Upper Subansiri",Kamle,
Arunachal Pradesh,2011-2021,2017.0,"East Siang, West Siang",Lower Siang,
Arunachal Pradesh,2011-2021,2018.0,Lower Siang,Lepa-Rada,
Arunachal Pradesh,2011-2021,2018.0,East Kameng,Pakke-Kesang,
